index,image,clean,valid_pixels,hazy_l1,hazy_mse,hazy_psnr,hazy_ssim,dehaze_l1,dehaze_mse,dehaze_psnr,dehaze_ssim,delta_l1,delta_mse,delta_psnr,delta_ssim
0,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000005.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000005.jpg,307200,0.22610297799110413,0.07139567285776138,11.463281091053988,0.6648320953051249,0.1481783390045166,0.034761179238557816,14.589054989635455,0.45879899462064105,-0.07792463898658752,-0.03663449361920357,3.1257738985814676,-0.20603310068448383
1,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000007.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000007.jpg,272640,0.23138242959976196,0.07686450332403183,11.142741747573844,0.5941778818766276,0.1843228042125702,0.052021224051713943,12.838194331349431,0.30411531527837116,-0.04705962538719177,-0.024843279272317886,1.6954525837755874,-0.2900625665982564
2,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000009.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000009.jpg,307200,0.239149272441864,0.07070019096136093,11.505794131712292,0.6570052703221639,0.14235469698905945,0.03304223716259003,14.809305559498391,0.29759637514750165,-0.09679457545280457,-0.037657953798770905,3.3035114277860984,-0.3594088951746623
3,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000016.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000016.jpg,273920,0.19940462708473206,0.058302249759435654,12.343146864201115,0.6434160470962524,0.19388870894908905,0.05658108368515968,12.473287388518466,0.14241637786229452,-0.005515918135643005,-0.0017211660742759705,0.13014052431735124,-0.5009996692339579
4,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000019.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000019.jpg,307200,0.17796355485916138,0.04352068156003952,13.613043119439185,0.8628817001978556,0.13143424689769745,0.025109950453042984,16.00154144236152,0.7128078937530518,-0.04652930796146393,-0.018410731106996536,2.388498322922336,-0.15007380644480384
5,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000020.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000020.jpg,307200,0.29098063707351685,0.10419906675815582,9.821361707063428,0.4980588455994924,0.17692169547080994,0.04919160157442093,13.081090375014464,0.32840390006701153,-0.11405894160270691,-0.055007465183734894,3.2597286679510358,-0.16965494553248084
6,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000021.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000021.jpg,275200,0.2009577751159668,0.05508740246295929,12.58947705437524,0.6922297477722168,0.13970427215099335,0.03129030019044876,15.045902703331917,0.34145623445510864,-0.06125350296497345,-0.02379710227251053,2.4564256489566763,-0.35077351331710815
7,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000024.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000024.jpg,274560,0.16684755682945251,0.049564700573682785,13.048275131029287,0.7374339699745178,0.2171550989151001,0.06517025083303452,11.859506074501098,0.34336817264556885,0.05030754208564758,0.01560555025935173,-1.188769056528189,-0.394065797328949
8,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000030.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000030.jpg,307200,0.13111688196659088,0.031207367777824402,15.057428608692787,0.7937362790107727,0.17146888375282288,0.04305753484368324,13.659508382940516,0.3770918647448222,0.040352001786231995,0.011850167065858841,-1.3979202257522712,-0.4166444142659505
9,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000039.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000039.jpg,307200,0.1485806256532669,0.03300183266401291,14.814619421291397,0.8586934010187784,0.12935177981853485,0.025062154978513718,16.009815887672747,0.6146673957506815,-0.019228845834732056,-0.007939677685499191,1.1951964663813506,-0.24402600526809692
