                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0397,                  3.412,                 1.3064,                 0.0127,                0.54897,                0.24814,                0.26468,                0.16716,                 1.1513,                 2.1837,                 1.3739,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.2091,                 2.6073,                 1.4178,                0.01239,                0.37942,                 0.2966,                 0.2666,                0.14958,                 1.4231,                 2.5366,                 1.6305,                      0,               0.039982,              0.0065954,              0.0065954
                      2,                 1.3208,                 2.6146,                 1.4935,                0.01226,                0.29698,                0.28994,                0.20835,                0.10362,                 1.6652,                 2.8418,                 1.8981,                      0,                0.00985,              0.0097968,              0.0097968
                      3,                  1.407,                 2.7227,                  1.579,                0.01213,                0.25651,                0.24983,                0.14934,                0.07202,                 1.8571,                 4.9424,                 2.1154,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4229,                 2.6716,                 1.6061,                0.01206,                0.41791,                 0.3377,                0.31928,                0.16957,                 1.5044,                 2.2787,                 1.7076,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.3991,                 2.5671,                 1.5942,                0.01185,                0.34379,                0.31665,                0.26061,                0.13535,                 1.5739,                 2.4984,                 1.7954,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3857,                  2.504,                 1.5708,                0.01177,                0.37564,                  0.365,                0.30974,                0.16596,                 1.5208,                 2.2774,                 1.7412,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3782,                 2.4327,                 1.5722,                0.01155,                 0.3428,                0.37224,                0.30723,                0.16921,                 1.5036,                 2.4132,                 1.7101,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.3521,                 2.3381,                 1.5549,                0.01149,                0.43607,                0.38937,                0.37485,                0.21035,                 1.4185,                 2.0693,                  1.641,                      0,               0.009307,               0.009307,               0.009307
                      9,                  1.318,                 2.2613,                 1.5374,                0.01129,                0.40286,                0.41414,                 0.3705,                0.20998,                 1.4483,                 2.1013,                 1.6676,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.3028,                 2.1907,                 1.5221,                 0.0112,                0.41932,                 0.4218,                0.38305,                0.21848,                 1.4176,                  2.005,                 1.6344,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.2844,                 2.1367,                 1.5071,                0.01101,                0.50826,                0.41982,                0.43303,                0.25396,                  1.372,                 1.8636,                 1.5785,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.2858,                 2.0723,                 1.4946,                0.01094,                0.50584,                 0.4351,                0.42647,                0.24823,                 1.3763,                 1.8954,                 1.6054,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.2766,                 2.0443,                  1.496,                0.01092,                0.51354,                0.43822,                 0.4526,                0.26379,                 1.3547,                  1.815,                 1.5682,                      0,               0.008812,               0.008812,               0.008812
                     14,                  1.254,                 2.0051,                 1.5003,                0.01064,                0.48167,                0.46948,                0.45022,                0.26752,                 1.3428,                 1.8433,                 1.5738,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2415,                 1.9521,                  1.475,                0.01061,                0.51084,                0.44042,                 0.4402,                0.26417,                 1.3512,                 1.8497,                 1.5777,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.2355,                 1.9048,                 1.4661,                 0.0105,                0.47688,                0.42856,                0.41333,                0.23376,                 1.4403,                 1.9309,                 1.6698,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2324,                 1.8802,                 1.4694,                0.01049,                0.56787,                0.47556,                0.49747,                0.29993,                 1.3166,                  1.694,                 1.5421,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.2134,                 1.8133,                 1.4547,                0.01039,                0.52113,                0.46756,                0.45856,                 0.2775,                 1.3446,                 1.7695,                 1.5549,                      0,               0.008317,               0.008317,               0.008317
                     19,                  1.187,                 1.7734,                  1.428,                0.01032,                0.56142,                 0.4581,                0.48173,                0.29282,                  1.318,                    1.7,                 1.5491,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1831,                 1.7443,                 1.4324,                0.01026,                0.53867,                0.50492,                0.50211,                0.30361,                 1.2926,                 1.6387,                   1.51,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.1841,                 1.7243,                 1.4276,                0.01018,                0.58326,                0.49772,                0.53211,                0.33063,                 1.2927,                 1.6389,                 1.5081,                      0,                0.00802,                0.00802,                0.00802
                     22,                  1.192,                 1.7188,                 1.4296,                0.01008,                0.59779,                0.49473,                0.52948,                0.32292,                 1.3215,                 1.6456,                 1.5448,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.1692,                 1.6869,                 1.4122,                0.01007,                0.60551,                0.51576,                0.54909,                0.34047,                 1.2925,                 1.5954,                 1.5113,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.1676,                 1.6355,                 1.4036,                0.00993,                0.60479,                0.52152,                0.54313,                0.33657,                 1.2622,                  1.593,                 1.4898,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.1377,                 1.6294,                 1.3884,                0.00996,                0.59864,                0.53811,                0.56013,                0.35358,                  1.256,                 1.5128,                 1.4796,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.1393,                 1.5955,                 1.3871,                0.00986,                0.60603,                0.51212,                 0.5475,                0.34367,                 1.2665,                  1.559,                 1.5009,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.1332,                 1.5707,                  1.388,                0.00975,                0.60697,                0.51778,                 0.5548,                0.34926,                 1.2908,                 1.5405,                 1.5138,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.1195,                 1.5415,                 1.3724,                0.00971,                0.61758,                0.52286,                0.55861,                0.34652,                 1.2948,                 1.5483,                 1.5101,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.1346,                   1.54,                 1.3817,                0.00973,                0.59274,                0.54254,                0.56021,                0.35182,                 1.2659,                 1.5185,                 1.4896,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.1093,                 1.5191,                 1.3627,                 0.0097,                 0.5973,                0.52842,                0.55049,                0.34125,                 1.2654,                 1.5338,                 1.4957,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.1112,                 1.4901,                 1.3771,                0.00966,                 0.5969,                 0.5524,                0.57069,                0.36004,                  1.248,                 1.4624,                 1.4669,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.1008,                 1.4518,                 1.3557,                0.00955,                0.63585,                0.52367,                0.56805,                0.36164,                  1.244,                 1.4628,                 1.4654,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.0957,                 1.4724,                 1.3561,                0.00954,                0.58552,                  0.498,                0.51899,                 0.3195,                 1.3065,                 1.6355,                 1.5353,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.0841,                 1.4341,                 1.3463,                0.00944,                0.63722,                0.54028,                0.58477,                0.37127,                 1.2449,                 1.4543,                 1.4619,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.0832,                 1.4346,                 1.3511,                0.00941,                0.62405,                0.55304,                 0.5861,                0.36543,                 1.2481,                  1.452,                 1.4708,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.0748,                 1.4003,                 1.3347,                0.00932,                0.62547,                0.55998,                0.59194,                0.38142,                 1.2185,                 1.4107,                 1.4343,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.0621,                 1.3852,                 1.3342,                0.00935,                 0.6413,                0.56097,                0.59495,                0.38249,                 1.2318,                  1.407,                 1.4525,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.0565,                 1.3789,                 1.3269,                0.00928,                0.64599,                0.54072,                0.58662,                0.37298,                 1.2366,                  1.468,                 1.4617,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.0709,                 1.3709,                 1.3334,                0.00925,                0.62068,                0.56381,                0.58721,                0.37452,                 1.2268,                 1.4208,                 1.4378,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.0466,                 1.3431,                 1.3141,                0.00918,                0.65416,                0.54645,                0.60075,                0.38454,                 1.2484,                 1.4208,                 1.4709,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.0398,                  1.332,                 1.3134,                0.00912,                0.65501,                0.56693,                0.59796,                0.38571,                 1.2236,                 1.4011,                  1.454,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0433,                 1.3178,                 1.3211,                0.00912,                0.65785,                0.56529,                0.60855,                 0.3911,                 1.2206,                  1.354,                 1.4436,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.0462,                 1.3262,                 1.3227,                0.00896,                0.64885,                0.56989,                0.60078,                0.38322,                 1.2258,                 1.3861,                 1.4495,                      0,               0.005842,               0.005842,               0.005842
                     44,                  1.028,                 1.3074,                 1.3048,                0.00883,                0.64141,                 0.5653,                0.60831,                0.39509,                 1.2128,                 1.3805,                 1.4355,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.0335,                 1.2896,                 1.3096,                 0.0089,                0.68576,                0.54514,                0.61057,                0.39617,                 1.2174,                  1.361,                 1.4357,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.0148,                 1.2657,                 1.2886,                0.00876,                0.68257,                0.55102,                0.61535,                0.40233,                 1.2071,                 1.3238,                 1.4291,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.0049,                 1.2511,                 1.2856,                0.00866,                0.66612,                0.56834,                0.60905,                0.39607,                 1.2137,                 1.3506,                 1.4272,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.0235,                  1.244,                 1.2916,                0.00866,                0.65499,                0.57335,                0.61236,                0.40074,                 1.1871,                 1.3469,                 1.4075,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.0027,                  1.232,                 1.2852,                0.00862,                0.62622,                0.58724,                0.61791,                0.39944,                 1.2006,                 1.3492,                 1.4254,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.99969,                 1.2406,                 1.2811,                0.00853,                0.65927,                0.56143,                0.60892,                0.40053,                 1.1949,                  1.346,                 1.4193,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.99375,                  1.202,                 1.2782,                0.00851,                0.63341,                0.60806,                0.63206,                0.41236,                 1.1972,                 1.2934,                 1.4236,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.98391,                  1.191,                 1.2663,                0.00843,                0.67538,                 0.5831,                0.62534,                0.40697,                 1.2111,                 1.3061,                 1.4367,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.98226,                 1.1909,                 1.2744,                0.00844,                0.67164,                0.57036,                 0.6188,                0.40364,                 1.2123,                 1.3158,                 1.4264,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.97322,                 1.1641,                 1.2657,                0.00836,                0.71005,                0.56636,                0.63879,                0.42159,                 1.1961,                 1.3037,                 1.4292,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.98032,                 1.1588,                 1.2581,                0.00833,                0.66939,                0.58947,                0.63917,                 0.4212,                 1.1952,                 1.2841,                 1.4237,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.95762,                 1.1457,                 1.2564,                0.00836,                 0.6803,                 0.5766,                0.63322,                0.41564,                 1.2057,                 1.3072,                 1.4389,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.95603,                 1.1236,                 1.2487,                0.00826,                0.68876,                 0.5838,                0.63737,                0.41751,                 1.1895,                 1.2748,                 1.4203,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.95649,                 1.1359,                 1.2505,                0.00815,                0.67637,                0.59716,                0.64369,                0.42809,                 1.1858,                  1.275,                  1.417,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.95162,                 1.1115,                 1.2421,                 0.0082,                0.69567,                 0.5788,                0.63615,                0.41564,                 1.1829,                 1.2856,                 1.4134,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.94884,                 1.1079,                 1.2455,                0.00812,                0.68682,                0.58925,                0.63706,                 0.4197,                 1.1808,                 1.2688,                 1.4133,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.94455,                 1.1028,                 1.2455,                 0.0081,                0.69447,                0.57726,                0.63547,                0.41419,                 1.2058,                 1.2668,                  1.427,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.94479,                 1.0953,                  1.242,                  0.008,                0.67345,                0.59161,                0.62988,                0.41629,                 1.1907,                 1.2758,                 1.4161,                      0,               0.003961,               0.003961,               0.003961
                     63,                 0.9245,                 1.0867,                 1.2267,                0.00799,                0.66331,                0.60546,                0.63939,                0.42228,                 1.1802,                 1.2419,                 1.4104,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.92554,                 1.0703,                 1.2277,                0.00799,                0.68193,                0.58384,                0.63417,                0.42061,                 1.1877,                 1.2648,                 1.4139,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.91917,                 1.0625,                 1.2224,                0.00794,                 0.7025,                0.59195,                0.64587,                0.42985,                 1.1772,                 1.2567,                 1.4121,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.92978,                 1.0625,                 1.2301,                0.00806,                0.70953,                0.59526,                0.64549,                0.42594,                 1.1728,                 1.2469,                  1.397,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.91598,                 1.0439,                 1.2172,                0.00793,                0.65983,                0.61864,                0.64881,                0.43272,                  1.172,                 1.2577,                 1.4064,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.90642,                 1.0429,                 1.2157,                0.00789,                0.68422,                0.60816,                0.64948,                0.43495,                 1.1679,                 1.2495,                 1.4022,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.89999,                 1.0321,                 1.2176,                 0.0079,                0.70231,                0.59699,                 0.6578,                0.43318,                 1.1773,                 1.2365,                 1.4118,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.89467,                 1.0049,                 1.2081,                0.00787,                0.69516,                0.59413,                0.64874,                0.43165,                 1.1658,                 1.2509,                 1.4024,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.89299,                 1.0041,                 1.2028,                0.00782,                0.67092,                0.61851,                0.65529,                0.43409,                 1.1754,                 1.2387,                 1.4066,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.89496,                 1.0121,                 1.2053,                0.00786,                0.71361,                0.59891,                0.65313,                 0.4354,                 1.1649,                 1.2334,                 1.3995,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.88513,                 0.9975,                 1.1999,                0.00776,                0.72277,                0.59184,                   0.66,                0.44131,                 1.1663,                 1.2168,                  1.398,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.89327,                0.99839,                 1.2016,                0.00777,                0.68575,                0.61394,                0.65901,                0.43653,                 1.1652,                  1.234,                 1.3937,                      0,               0.002773,               0.002773,               0.002773
                     75,                  0.884,                0.98746,                 1.1952,                0.00773,                0.69979,                 0.6111,                0.65998,                 0.4425,                 1.1616,                 1.2269,                 1.3998,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.86846,                0.97475,                 1.1922,                0.00773,                0.70935,                0.59845,                0.66034,                0.44154,                 1.1639,                 1.2322,                 1.4049,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.86221,                0.95909,                 1.1901,                0.00773,                0.72112,                0.59186,                0.65925,                0.43746,                 1.1696,                  1.241,                 1.4086,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.86458,                0.96491,                 1.1903,                0.00763,                 0.7105,                0.61068,                0.66391,                0.44212,                  1.156,                 1.2115,                 1.4003,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.86781,                0.95926,                 1.1877,                0.00759,                0.69042,                0.62126,                0.65744,                0.43807,                 1.1573,                  1.206,                 1.3944,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.86353,                0.94375,                 1.1821,                0.00764,                0.70302,                0.61201,                0.66787,                0.44642,                 1.1503,                 1.2024,                 1.3903,                      0,               0.002179,               0.002179,               0.002179
                     81,                 0.8504,                0.92928,                 1.1742,                0.00761,                0.70591,                0.61892,                0.66856,                0.44996,                  1.151,                 1.2082,                 1.3914,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.84562,                0.93513,                 1.1822,                0.00768,                0.70965,                0.61168,                 0.6635,                0.44515,                 1.1606,                 1.2145,                 1.4046,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.83828,                0.90567,                 1.1658,                0.00765,                0.70121,                0.61696,                0.66137,                0.44219,                 1.1663,                 1.2096,                  1.404,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.83816,                0.90687,                 1.1656,                 0.0076,                0.71861,                0.60667,                0.66338,                0.44455,                 1.1586,                 1.2093,                 1.3961,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.83142,                0.90355,                 1.1653,                0.00761,                0.70491,                0.60982,                0.65947,                0.44341,                 1.1563,                 1.2087,                 1.3971,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.83326,                0.89825,                 1.1688,                0.00753,                 0.6924,                0.63133,                0.66117,                0.44514,                 1.1499,                 1.1967,                 1.3877,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.84514,                 0.9145,                 1.1788,                0.00759,                0.72521,                0.60328,                0.66815,                0.44916,                 1.1501,                  1.202,                 1.3945,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.81706,                0.88771,                 1.1606,                0.00757,                0.72561,                0.60681,                0.66404,                0.44685,                 1.1506,                 1.2043,                 1.3917,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.80513,                0.87858,                 1.1554,                0.00762,                0.72868,                0.61114,                0.66793,                0.44982,                 1.1459,                 1.2101,                 1.3904,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.76016,                0.71981,                 1.1192,                0.00632,                0.71864,                0.60008,                0.65878,                0.44402,                 1.1526,                 1.2072,                 1.3977,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.73498,                0.67587,                 1.0922,                0.00626,                0.70897,                0.61574,                0.66117,                0.44507,                 1.1534,                 1.2058,                 1.3955,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.73486,                0.66307,                 1.0945,                0.00616,                0.71057,                0.61164,                0.66027,                0.44542,                 1.1533,                 1.2147,                 1.4012,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.71538,                0.65307,                 1.0832,                0.00622,                0.73103,                0.60663,                0.66021,                0.44348,                 1.1559,                 1.2069,                 1.4104,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.72384,                0.64987,                 1.0959,                0.00616,                 0.7136,                0.61088,                0.66069,                0.44519,                 1.1527,                  1.207,                 1.4056,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.69949,                0.64682,                 1.0811,                0.00614,                0.69186,                0.62978,                0.66445,                0.44747,                 1.1521,                 1.2205,                 1.4088,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.70345,                0.63165,                 1.0755,                0.00603,                0.69948,                0.62342,                0.66402,                0.44608,                 1.1533,                 1.2068,                 1.4068,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.69705,                0.62348,                 1.0738,                0.00601,                0.71829,                0.61663,                0.66874,                0.44605,                 1.1544,                 1.2022,                 1.4088,                      0,               0.000496,               0.000496,               0.000496
