                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0628,                 3.3902,                 1.3035,                0.01099,                0.60538,                 0.2616,                 0.2919,                0.19358,                 1.1133,                 2.2257,                 1.3082,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.2087,                 2.6401,                 1.4029,                0.01079,                0.46055,                0.48635,                0.45574,                0.27914,                 1.2387,                 2.1141,                 1.4211,                      0,               0.039982,              0.0065954,              0.0065954
                      2,                  1.305,                 2.5613,                 1.4763,                0.01067,                0.36395,                0.32225,                0.26332,                0.14082,                 1.5978,                 2.4832,                 1.8012,                      0,                0.00985,              0.0097968,              0.0097968
                      3,                 1.4122,                 2.6885,                 1.5801,                0.01063,                0.26557,                0.26984,                0.17734,                0.08618,                 1.7387,                 2.9691,                  1.977,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4212,                 2.6584,                 1.6001,                0.01065,                0.35934,                0.34123,                0.28593,                0.15455,                 1.5265,                  2.386,                 1.7623,                      0,               0.009703,               0.009703,               0.009703
                      5,                  1.405,                 2.5327,                 1.5934,                0.01049,                0.42035,                0.33504,                0.30115,                0.15762,                 1.5369,                 2.3758,                 1.7345,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3937,                 2.4945,                 1.5816,                0.01055,                 0.3874,                0.40248,                0.34566,                0.19123,                 1.4663,                 2.1714,                 1.6783,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3611,                 2.4172,                 1.5694,                0.01037,                0.39986,                0.34311,                0.31686,                0.17093,                 1.5097,                 2.2009,                  1.693,                      0,               0.009406,               0.009406,               0.009406
                      8,                  1.343,                 2.3324,                  1.551,                0.01033,                0.43283,                0.42906,                0.39434,                0.22261,                 1.4332,                 2.0383,                 1.6512,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.3108,                 2.2335,                 1.5323,                0.01015,                0.44677,                0.39975,                0.38064,                0.21041,                 1.4298,                 1.9815,                 1.6343,                      0,               0.009208,               0.009208,               0.009208
