                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0659,                 3.3839,                  1.302,                0.01124,                0.47739,                0.28117,                0.26657,                0.17417,                 1.1452,                 2.2817,                 1.3321,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.2128,                 2.6266,                 1.4045,                0.01091,                0.41905,                0.36438,                0.32254,                0.18506,                 1.4201,                 2.3281,                 1.6526,                      0,               0.039982,              0.0065954,              0.0065954
                      2,                 1.3096,                 2.5797,                 1.4932,                0.01074,                0.37733,                0.34668,                0.29043,                0.15293,                 1.5131,                 2.5439,                 1.7172,                      0,                0.00985,              0.0097968,              0.0097968
                      3,                 1.4063,                 2.7092,                  1.599,                0.01066,                0.29372,                0.29381,                0.21564,                0.10458,                 1.6377,                 2.7957,                 1.8988,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4058,                 2.6274,                 1.5999,                0.01062,                 0.3766,                0.35959,                0.30985,                0.16451,                 1.4978,                 2.2181,                  1.724,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.4112,                 2.5585,                 1.6017,                0.01049,                0.37063,                0.33906,                0.28128,                0.14273,                 1.5819,                 2.5242,                 1.7763,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3874,                 2.4825,                 1.5764,                0.01045,                0.37019,                0.37559,                 0.3172,                0.17301,                 1.4935,                 2.2835,                 1.7022,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3696,                 2.4113,                 1.5735,                0.01028,                0.40939,                0.33032,                0.29948,                0.16695,                 1.4713,                 2.3805,                 1.6908,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.3456,                 2.3368,                 1.5581,                0.01029,                0.43798,                0.41309,                0.37263,                 0.2094,                 1.4035,                 2.1706,                  1.632,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.3186,                 2.2325,                 1.5307,                0.01012,                0.42126,                0.42636,                0.37927,                0.21494,                 1.4311,                 2.0397,                 1.6517,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.3095,                 2.1649,                 1.5327,                0.01006,                0.47105,                0.42344,                0.40185,                0.22759,                  1.414,                 2.0264,                 1.6377,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.2889,                 2.1231,                 1.5135,                0.00995,                0.45482,                 0.4463,                 0.4237,                 0.2497,                 1.4046,                 1.8906,                 1.6163,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.2934,                 2.0789,                 1.5125,                0.00995,                0.48489,                0.46442,                0.43797,                0.25162,                 1.3497,                 1.8325,                 1.5691,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.2795,                 2.0476,                 1.5038,                0.00995,                0.53774,                0.44164,                0.45938,                0.27023,                 1.3514,                 1.7769,                 1.5769,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.2526,                 2.0134,                 1.4945,                0.00978,                0.49584,                 0.4542,                0.45547,                0.27056,                 1.3375,                 1.7843,                 1.5669,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2448,                 1.9425,                  1.481,                0.00969,                0.48454,                0.38122,                0.39114,                0.22327,                 1.4746,                 2.0131,                 1.6873,                      0,               0.008614,               0.008614,               0.008614
                     16,                   1.23,                 1.8935,                 1.4647,                0.00958,                0.56548,                 0.4287,                0.47161,                0.27877,                 1.3617,                 1.7891,                 1.6007,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2291,                  1.865,                  1.471,                0.00959,                0.53233,                0.45597,                0.46442,                0.27207,                 1.3709,                 1.8107,                 1.5887,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.2161,                 1.8143,                 1.4562,                0.00951,                0.54014,                 0.4842,                0.49418,                0.30094,                 1.3174,                 1.6997,                  1.551,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.1948,                 1.7572,                 1.4349,                0.00944,                0.51034,                0.46331,                0.46801,                 0.2826,                 1.3677,                 1.7742,                 1.6193,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1956,                 1.7381,                 1.4407,                0.00936,                0.58762,                0.47829,                0.51637,                0.31707,                 1.3049,                 1.6372,                 1.5216,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.1773,                 1.7047,                 1.4187,                0.00935,                0.57432,                0.50154,                0.51686,                0.31692,                 1.3142,                 1.6762,                 1.5448,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.1945,                 1.7228,                   1.44,                0.00919,                0.58013,                0.51813,                0.53952,                0.32793,                   1.31,                 1.5912,                  1.536,                      0,               0.007921,               0.007921,               0.007921
                     23,                  1.174,                 1.7024,                 1.4251,                0.00915,                0.62053,                0.50154,                0.54176,                 0.3352,                 1.2919,                 1.5702,                 1.5008,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.1588,                 1.6459,                 1.4032,                0.00896,                0.56312,                0.50477,                0.51776,                0.31939,                 1.2936,                 1.6531,                 1.5191,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.1406,                 1.6286,                 1.3998,                0.00902,                0.59164,                 0.5316,                 0.5524,                0.34737,                   1.27,                 1.5471,                 1.4909,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.1433,                 1.5979,                 1.3931,                0.00893,                0.62889,                0.48726,                0.55026,                0.34705,                 1.2618,                  1.532,                 1.4806,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.1459,                 1.5769,                 1.4031,                0.00885,                0.61505,                0.52134,                0.56043,                0.35324,                 1.2633,                 1.4999,                 1.4957,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.1208,                 1.5327,                  1.376,                0.00873,                0.57046,                0.52691,                 0.5417,                 0.3346,                 1.3139,                 1.5764,                 1.5476,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.1365,                 1.5531,                 1.3888,                0.00884,                0.58198,                0.54727,                0.56862,                0.36113,                 1.2573,                 1.4838,                 1.4845,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.1087,                 1.5231,                 1.3694,                0.00885,                0.59076,                0.53893,                0.55269,                0.34341,                 1.2606,                 1.4999,                 1.5053,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.1127,                 1.4864,                 1.3767,                0.00869,                0.60781,                0.55195,                0.57421,                0.36564,                 1.2518,                 1.4525,                 1.4799,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.1037,                 1.4668,                  1.364,                0.00871,                0.60998,                0.54527,                0.56694,                0.36325,                 1.2383,                 1.4711,                 1.4647,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.0875,                 1.4623,                 1.3535,                0.00864,                0.60443,                0.52148,                0.55215,                0.34627,                 1.2623,                 1.5075,                 1.4878,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.0912,                 1.4287,                 1.3556,                0.00857,                0.62567,                0.52762,                0.57303,                0.35822,                 1.2546,                 1.4619,                 1.4752,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.0824,                 1.4317,                 1.3538,                0.00855,                0.62864,                0.54482,                0.58758,                0.37276,                 1.2344,                  1.433,                 1.4691,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.0762,                 1.3951,                 1.3389,                0.00854,                0.65327,                0.53592,                0.59234,                0.37732,                 1.2231,                 1.4047,                 1.4501,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.0594,                 1.3776,                 1.3347,                0.00843,                0.62646,                0.55377,                0.59105,                0.37738,                 1.2259,                 1.4063,                 1.4556,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.0638,                 1.3932,                 1.3369,                0.00839,                0.61334,                0.56502,                0.59267,                0.38057,                 1.2205,                 1.4076,                 1.4535,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.0657,                 1.3853,                 1.3357,                0.00839,                0.61468,                0.56824,                0.58873,                0.37715,                 1.2297,                 1.3982,                  1.465,                      0,               0.006238,               0.006238,               0.006238
