                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0659,                 3.3701,                 1.3022,                0.01071,                0.56279,                0.28344,                0.28407,                0.18939,                 1.0923,                 2.2293,                 1.3125,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.2064,                 2.6269,                 1.3999,                0.01047,                0.46955,                0.41333,                0.38752,                0.23098,                 1.2929,                 2.1401,                 1.4928,                      0,               0.039982,              0.0065954,              0.0065954
                      2,                 1.3217,                 2.5983,                 1.4993,                0.01038,                0.36389,                0.36048,                0.29477,                0.16153,                 1.4661,                 2.5212,                 1.6607,                      0,                0.00985,              0.0097968,              0.0097968
                      3,                 1.4177,                 2.7512,                 1.6068,                0.01036,                0.18428,                0.21265,                0.09725,                0.04231,                 1.9044,                 3.6257,                 2.2322,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4254,                 2.6873,                  1.617,                0.01028,                0.31572,                 0.2995,                0.23337,                0.11584,                 1.6231,                 2.5319,                  1.865,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.4185,                 2.5915,                 1.6101,                0.01014,                0.38027,                0.35708,                0.31414,                 0.1703,                 1.5056,                 2.2474,                 1.7234,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3973,                 2.4932,                 1.5876,                0.01015,                0.40382,                0.37908,                0.32458,                0.17639,                 1.4703,                 2.2607,                 1.6824,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3752,                 2.4234,                 1.5739,                0.01002,                0.42578,                 0.3738,                0.34574,                 0.1922,                 1.4561,                 2.0969,                 1.6603,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.3461,                  2.321,                  1.555,                   0.01,                0.37831,                0.40592,                0.35292,                0.19497,                 1.4589,                 2.1573,                 1.6744,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.3147,                 2.2552,                 1.5311,                0.00988,                0.41655,                0.43937,                0.38653,                0.21979,                 1.3907,                 2.0147,                 1.6037,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.3052,                  2.169,                 1.5226,                0.00988,                0.46286,                0.36663,                0.36631,                0.20906,                  1.439,                 2.0592,                 1.6601,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.2799,                 2.1258,                 1.5095,                0.00976,                0.47252,                0.41364,                0.41076,                0.23862,                 1.4105,                   1.94,                 1.6186,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.2925,                 2.0816,                 1.5159,                0.00979,                0.47554,                 0.4204,                0.41365,                0.23221,                 1.4262,                 1.9679,                 1.6717,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.2738,                 2.0532,                 1.4992,                0.00976,                0.45399,                0.45994,                0.43112,                0.24739,                 1.3872,                  1.938,                 1.6071,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.2577,                 2.0194,                 1.5002,                0.00956,                0.48476,                0.44882,                0.43336,                0.25397,                 1.3903,                 1.9426,                 1.6119,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2394,                 1.9417,                  1.472,                 0.0095,                 0.4872,                0.45558,                0.44621,                0.26252,                 1.3486,                 1.8628,                  1.566,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.2346,                 1.8738,                 1.4697,                0.00934,                 0.5194,                0.47112,                0.46897,                0.28086,                 1.3348,                 1.7665,                  1.559,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2361,                  1.887,                 1.4759,                 0.0094,                0.52483,                0.48818,                0.48884,                0.28813,                 1.3591,                 1.7211,                 1.5781,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.2152,                 1.8151,                 1.4555,                0.00937,                0.51158,                0.41566,                0.43101,                0.25639,                 1.3941,                 1.9703,                  1.643,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.1955,                 1.7683,                 1.4388,                0.00927,                0.56036,                0.49092,                0.52161,                0.31621,                 1.3086,                 1.5964,                 1.5305,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1939,                 1.7521,                  1.444,                0.00926,                0.53973,                0.48325,                0.49986,                0.30105,                  1.329,                  1.666,                 1.5537,                      0,               0.008119,               0.008119,               0.008119
