                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0604,                 3.3723,                 1.2987,                0.01219,                0.35875,                0.29772,                0.29421,                0.19822,                 1.0602,                 2.1317,                 1.2725,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.2079,                 2.6092,                 1.4021,                0.01194,                0.43849,                0.40719,                0.37526,                0.21794,                 1.3154,                 2.6338,                 1.5052,                      0,               0.039982,              0.0065954,              0.0065954
                      2,                 1.3182,                 2.5969,                 1.4838,                0.01184,                0.32946,                0.29326,                0.22902,                0.11914,                  1.632,                 2.7904,                  1.878,                      0,                0.00985,              0.0097968,              0.0097968
                      3,                  1.409,                 2.7206,                 1.5795,                0.01146,                0.31079,                0.30878,                0.22583,                0.11357,                 1.6089,                  2.687,                 1.8301,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4229,                 2.6666,                 1.6031,                0.01138,                0.34665,                0.30039,                0.25921,                0.12946,                 1.6035,                 2.4188,                 1.7655,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.4052,                 2.5429,                 1.5887,                 0.0112,                0.35487,                 0.3359,                 0.2759,                0.14545,                 1.5926,                 2.4594,                 1.8234,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3884,                 2.4893,                 1.5692,                0.01096,                0.35465,                0.39226,                0.31046,                0.16574,                 1.4923,                 2.2284,                 1.6993,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3734,                 2.4258,                 1.5741,                 0.0107,                0.43137,                0.35266,                0.34163,                0.18794,                 1.4672,                 2.0797,                 1.6637,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.3541,                 2.3378,                 1.5586,                0.01049,                0.44296,                0.35963,                0.34679,                0.19221,                  1.491,                 2.1485,                 1.7259,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.3233,                 2.2563,                 1.5286,                 0.0103,                0.39302,                0.32881,                0.30166,                0.16806,                 1.5297,                 2.3418,                 1.7763,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.3067,                 2.1749,                 1.5197,                 0.0102,                0.42019,                0.44316,                0.38377,                0.21391,                 1.4191,                 2.0868,                 1.6193,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.2865,                 2.1349,                 1.5092,                0.00997,                0.47119,                0.40649,                0.38952,                0.21879,                 1.4461,                  1.972,                 1.6365,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.2854,                 2.0907,                 1.5037,                0.00989,                0.50996,                0.43383,                0.44336,                0.25816,                 1.3481,                 1.8249,                  1.568,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.2748,                 2.0565,                 1.5006,                0.00993,                0.51114,                0.44327,                0.45342,                 0.2684,                 1.3419,                 1.7887,                 1.5511,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.2626,                 2.0086,                   1.49,                0.00971,                0.48933,                0.43979,                0.43513,                0.25153,                 1.3941,                 1.9345,                  1.624,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2501,                 1.9514,                 1.4727,                0.00957,                 0.5161,                0.46341,                 0.4606,                0.27252,                 1.3559,                  1.767,                 1.5883,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.2337,                 1.8957,                 1.4631,                0.00953,                0.46567,                0.46799,                0.44335,                0.26068,                 1.3911,                 1.8331,                 1.6099,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2307,                 1.8799,                 1.4662,                0.00943,                0.53855,                0.48821,                 0.4919,                0.29269,                 1.3377,                 1.7615,                 1.5517,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.2164,                 1.8108,                 1.4466,                0.00937,                0.55935,                0.48773,                0.49937,                0.29772,                 1.3299,                 1.7706,                 1.5402,                      0,               0.008317,               0.008317,               0.008317
                     19,                  1.201,                 1.7647,                 1.4324,                0.00933,                0.56009,                0.50061,                0.51511,                0.31164,                 1.3295,                 1.6428,                 1.5306,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1918,                 1.7648,                 1.4381,                 0.0092,                0.54612,                 0.4859,                0.50466,                0.30782,                 1.3237,                 1.6454,                 1.5313,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.1889,                 1.7181,                 1.4225,                0.00908,                0.56217,                0.52751,                0.53955,                0.32867,                 1.2958,                 1.5848,                 1.5043,                      0,                0.00802,                0.00802,                0.00802
                     22,                  1.204,                 1.7228,                 1.4371,                0.00913,                0.56983,                0.47581,                0.49735,                0.29897,                 1.3433,                 1.6828,                  1.559,                      0,               0.007921,               0.007921,               0.007921
