                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0503,                 3.3681,                    1.3,                0.01249,                0.40197,                0.31492,                0.32644,                0.22273,                 1.1093,                 2.0813,                 1.3156,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.2165,                 2.6235,                 1.4119,                 0.0122,                0.37098,                0.36031,                0.30841,                0.17673,                 1.4007,                 2.5596,                  1.595,                      0,               0.039982,              0.0065954,              0.0065954
                      2,                 1.3084,                 2.5632,                 1.4792,                0.01197,                 0.2679,                0.23977,                0.16006,                0.07758,                 1.7251,                 2.9632,                 1.9697,                      0,                0.00985,              0.0097968,              0.0097968
                      3,                 1.4111,                 2.7147,                 1.5892,                0.01155,                0.31216,                0.26605,                0.19236,                0.09395,                 1.7302,                 3.4317,                 2.0207,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4124,                  2.634,                 1.5889,                0.01134,                0.38512,                0.30877,                0.26321,                0.14132,                 1.5645,                 2.4011,                 1.7933,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.4046,                 2.5641,                 1.5951,                0.01113,                 0.4012,                0.37188,                0.32781,                0.17448,                 1.5124,                 2.3249,                 1.7064,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3917,                 2.4811,                 1.5769,                0.01086,                0.38644,                0.38552,                0.34283,                0.18934,                  1.462,                 2.1199,                   1.69,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3733,                 2.4165,                 1.5693,                0.01062,                0.42223,                0.37265,                 0.3426,                0.18757,                 1.4748,                 2.3285,                 1.6911,                      0,               0.009406,               0.009406,               0.009406
                      8,                  1.346,                  2.317,                 1.5503,                0.01041,                0.44398,                0.40109,                0.37215,                0.20735,                 1.4498,                 2.1445,                 1.6773,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.3173,                 2.2287,                 1.5265,                0.01025,                0.44377,                0.40523,                 0.3791,                0.21499,                 1.4279,                 2.1143,                 1.6601,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.2997,                 2.1751,                  1.524,                0.01018,                0.47357,                 0.4171,                0.40846,                0.23253,                 1.4087,                 1.9751,                 1.6157,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.2872,                 2.1265,                 1.5133,                0.00997,                0.45997,                0.43636,                0.41483,                0.24532,                 1.3865,                 1.9064,                 1.6124,                      0,                0.00901,                0.00901,                0.00901
                     12,                  1.276,                 2.0737,                 1.5051,                0.00986,                0.49082,                0.46472,                0.43624,                0.25282,                 1.3762,                 1.8546,                 1.6102,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.2727,                  2.056,                 1.5078,                 0.0099,                0.50844,                0.46129,                0.45577,                0.26339,                 1.3719,                 1.8425,                  1.597,                      0,               0.008812,               0.008812,               0.008812
                     14,                  1.263,                 2.0099,                 1.5028,                0.00969,                0.48105,                0.43748,                0.43376,                0.24859,                 1.3902,                 1.9443,                 1.6106,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2368,                 1.9352,                 1.4661,                0.00956,                0.54892,                0.41228,                0.44374,                0.25796,                 1.3614,                 1.8476,                 1.5993,                      0,               0.008614,               0.008614,               0.008614
                     16,                  1.238,                 1.9005,                 1.4731,                0.00951,                0.52204,                0.43459,                0.44323,                0.25921,                   1.37,                 1.8368,                 1.5842,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2361,                  1.881,                 1.4747,                0.00938,                0.54981,                 0.4771,                0.48714,                0.28746,                 1.3576,                 1.7559,                 1.5777,                      0,               0.008416,               0.008416,               0.008416
                     18,                  1.219,                 1.8187,                 1.4584,                0.00934,                0.55651,                0.44935,                0.47821,                0.28031,                 1.3436,                 1.7075,                 1.5575,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.2007,                 1.7795,                 1.4402,                0.00929,                0.54621,                0.48336,                0.49625,                0.30628,                 1.3162,                  1.658,                 1.5473,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1908,                 1.7522,                  1.438,                0.00914,                0.58223,                0.48848,                0.51558,                0.31242,                 1.3161,                   1.65,                 1.5388,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.1752,                 1.7153,                 1.4217,                0.00907,                0.57951,                0.49707,                0.53191,                0.32877,                 1.2805,                 1.6121,                 1.5054,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.1887,                 1.7156,                 1.4285,                0.00908,                 0.5971,                0.50674,                 0.5335,                 0.3297,                 1.3187,                 1.6072,                 1.5272,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.1672,                 1.6943,                 1.4204,                0.00895,                0.58042,                0.52775,                 0.5438,                 0.3324,                 1.2985,                 1.5725,                 1.5154,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.1656,                 1.6392,                  1.412,                0.00902,                0.57877,                0.52171,                0.52465,                 0.3253,                  1.288,                 1.6222,                  1.517,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.1405,                 1.6358,                 1.3963,                0.00889,                0.58757,                0.52751,                0.55369,                0.34368,                 1.2758,                 1.5328,                  1.484,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.1374,                 1.6005,                 1.3925,                0.00888,                0.59769,                0.52313,                0.54848,                0.34658,                 1.2531,                  1.546,                 1.4793,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.1388,                 1.5731,                 1.3978,                0.00892,                 0.6102,                0.53291,                0.57213,                0.35986,                 1.2644,                 1.5015,                 1.4874,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.1097,                 1.5277,                 1.3649,                0.00885,                0.57851,                  0.495,                0.51993,                0.32246,                 1.3065,                 1.6276,                  1.537,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.1379,                 1.5517,                 1.3883,                0.00882,                0.58187,                0.53096,                 0.5473,                0.34312,                 1.2707,                 1.5217,                 1.4936,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.1067,                 1.5369,                  1.368,                0.00886,                 0.6169,                 0.5125,                0.55151,                0.34202,                 1.2731,                 1.5218,                 1.5062,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.1167,                  1.485,                  1.381,                0.00869,                0.61235,                 0.5488,                0.57502,                0.36545,                  1.262,                  1.476,                 1.4912,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.1025,                 1.4655,                 1.3607,                0.00868,                0.62324,                0.52456,                 0.5771,                0.36621,                 1.2482,                 1.4804,                 1.4746,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.0934,                 1.4708,                 1.3617,                0.00857,                0.60503,                0.53791,                0.56886,                0.36194,                 1.2397,                 1.4948,                 1.4719,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.0894,                 1.4375,                 1.3541,                0.00853,                 0.6227,                0.56396,                0.58393,                 0.3676,                 1.2409,                 1.4364,                 1.4652,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.0814,                 1.4333,                 1.3545,                0.00865,                0.64653,                0.54564,                0.59099,                0.37729,                 1.2224,                  1.414,                 1.4473,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.0862,                 1.4106,                 1.3425,                0.00862,                 0.6201,                0.56525,                0.58892,                0.37428,                 1.2314,                 1.4217,                 1.4455,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.0655,                 1.3815,                 1.3377,                0.00858,                 0.6601,                0.54678,                 0.6013,                0.38846,                 1.2443,                 1.4092,                 1.4598,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.0601,                 1.3979,                 1.3342,                0.00865,                0.62981,                0.51586,                0.55695,                0.34655,                   1.28,                  1.528,                  1.518,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.0662,                 1.3859,                 1.3348,                0.00853,                0.62904,                0.55831,                0.59108,                0.38069,                 1.2329,                 1.4084,                  1.448,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.0486,                 1.3458,                 1.3196,                0.00856,                 0.6412,                0.55988,                0.59927,                 0.3866,                 1.2355,                 1.4175,                 1.4627,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.0412,                 1.3268,                 1.3187,                0.00849,                0.64709,                0.56706,                0.60906,                0.38793,                 1.2279,                 1.3804,                  1.457,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0431,                 1.3084,                 1.3175,                0.00853,                0.67431,                0.56227,                0.61466,                0.39543,                  1.215,                 1.3512,                 1.4407,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.0377,                 1.3218,                 1.3192,                0.00849,                0.64315,                0.54674,                0.58586,                0.37556,                 1.2289,                 1.4033,                 1.4606,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.0286,                 1.3153,                 1.3123,                0.00841,                0.66128,                0.56678,                0.60866,                0.39679,                 1.2289,                  1.366,                 1.4631,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.0325,                 1.2889,                 1.3093,                0.00845,                   0.66,                0.55358,                0.60619,                 0.3934,                  1.218,                  1.346,                 1.4278,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.0175,                 1.2582,                 1.2919,                 0.0084,                0.64742,                0.57828,                0.60851,                0.39656,                 1.2125,                 1.3408,                 1.4424,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.0148,                 1.2556,                 1.2964,                0.00856,                0.63696,                0.57692,                0.61201,                 0.3958,                 1.2048,                 1.3553,                 1.4369,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.0153,                 1.2435,                  1.288,                0.00838,                 0.6778,                0.56972,                0.63359,                0.41688,                 1.1893,                 1.2994,                 1.4193,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.0084,                 1.2393,                 1.2923,                0.00843,                0.63322,                0.58451,                0.61689,                0.39962,                  1.213,                 1.3637,                 1.4481,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.0032,                 1.2415,                 1.2892,                0.00846,                0.67094,                0.57724,                0.62173,                0.40024,                 1.2006,                 1.3295,                 1.4232,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.99838,                 1.2076,                 1.2794,                0.00835,                0.67484,                0.56041,                0.62424,                 0.4043,                 1.2097,                 1.3253,                 1.4315,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.98646,                  1.201,                 1.2723,                0.00829,                 0.6732,                  0.584,                0.62795,                0.41018,                 1.1876,                 1.2945,                 1.4162,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.98275,                 1.1911,                 1.2742,                 0.0084,                0.66989,                0.57986,                0.63051,                0.41091,                 1.2007,                 1.2998,                 1.4211,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.97838,                 1.1771,                 1.2716,                0.00838,                0.66265,                0.59791,                 0.6372,                 0.4173,                 1.1879,                 1.2896,                 1.4218,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.98216,                 1.1718,                 1.2645,                0.00833,                0.67105,                 0.5962,                0.64056,                0.42038,                 1.1871,                 1.2878,                 1.4171,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.96284,                 1.1437,                 1.2579,                0.00834,                0.68187,                 0.5892,                0.63867,                0.41676,                 1.1903,                  1.292,                 1.4253,                      0,               0.004555,               0.004555,               0.004555
                     57,                 0.9569,                 1.1216,                 1.2489,                0.00835,                 0.6469,                0.60525,                0.63894,                0.41564,                 1.1952,                 1.2842,                 1.4267,                      0,               0.004456,               0.004456,               0.004456
                     58,                 0.9542,                 1.1246,                 1.2495,                 0.0083,                0.64737,                0.62428,                0.64285,                0.42263,                 1.1863,                 1.2634,                 1.4116,                      0,               0.004357,               0.004357,               0.004357
                     59,                 0.9544,                 1.1109,                 1.2447,                0.00838,                0.70366,                0.57306,                0.64091,                0.42209,                 1.1843,                 1.2829,                 1.4145,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.94684,                 1.1068,                 1.2467,                0.00838,                0.68932,                0.57884,                0.64046,                0.42085,                  1.178,                 1.2744,                   1.41,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.94227,                 1.1016,                 1.2464,                0.00841,                0.67872,                 0.5846,                0.63922,                0.41827,                 1.1864,                 1.2651,                  1.412,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.94574,                 1.1067,                 1.2444,                0.00835,                0.69517,                0.58257,                0.64192,                 0.4217,                 1.1761,                 1.2506,                 1.4014,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.92486,                 1.0836,                 1.2295,                0.00828,                0.67239,                0.59368,                0.64564,                0.42295,                 1.1768,                  1.243,                 1.4139,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.92516,                 1.0757,                 1.2317,                 0.0083,                0.67739,                0.59558,                 0.6492,                0.43066,                 1.1703,                 1.2403,                 1.4025,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.92398,                 1.0628,                  1.228,                0.00836,                0.66866,                 0.5974,                0.64156,                0.42571,                  1.175,                 1.2524,                 1.4064,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.92592,                 1.0603,                 1.2277,                0.00831,                0.68649,                0.59187,                0.64959,                 0.4293,                 1.1726,                 1.2484,                 1.4013,                      0,               0.003565,               0.003565,               0.003565
                     67,                 0.9106,                 1.0528,                 1.2167,                0.00825,                0.68336,                0.59916,                0.65619,                0.43764,                 1.1689,                 1.2401,                 1.4023,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.90561,                 1.0388,                 1.2162,                0.00829,                0.68943,                0.59752,                0.65882,                0.43898,                 1.1637,                 1.2358,                 1.3869,                      0,               0.003367,               0.003367,               0.003367
